"MINISTERE","MNT_ALLOUE","MNT_AUTORISE","SOLDE"
"1111",1018429109.93,1016049458.88,2379651.05
"1112",4800428492.45,4741049842.16,59378650.29
"1113",1179689544.71,1179441057.96,248486.75
"1114",1027072986.27,1009086332.63,17986653.64
"1115",524025402.59,523231580.2,793822.39
"1116",453021162.97,452776252.93,244910.04
"1117",185311278.46,185046841.6,264436.86
"1211",10581034222.18,10534572978.38,46461243.8
"1212",99999769.94,99793362.91,206407.03
"1213",3815999533.43,3815277351.33,722182.1
"1214",1204570753.9,1204251208.77,319545.13
"1215",1797073571.86,1700441926.14,96631645.72
"1216",1507502483.13,1472640129.51,34862353.62
"1217",403555498.43,403554767.58,730.85
"1311",11170713403.52,11054213769.8,116499633.72
"1312",1006836286.84,1006412194.18,424092.66
"1313",4086874932.46,3942848433.39,144026499.07
"1314",148501213.88,148449031.47,52182.41
"1315",578220864.9,578182429.95,38434.95
"1411",180151927.63,179360485.13,791442.5
"1412",1163457269.28,1161521223.62,1936045.66
"1413",306881238.25,306749944.31,131293.94
"1511",11147741300,9673997158.28,1473744141.72
"1512",10351848892.9,10272391321.44,79457571.46
"2211",1474428023.1,1471926090.79,2501932.31
"2212",2422646544.4,2422134659.09,511885.31
"3211",1047647916.8,1046425595.12,1222321.68
"4111",647027562.33,647027343.18,219.15
"4211",382807606.3,382807560.36,45.94
"4212",48450200.8,48447840.74,2360.06
"4311",1142999892.03,1134885895.32,8113996.71
"4411",25031160.01,25031055.89,104.12
"Total : ",75929980045.68,73840025123.04,2089954922.64
