MINISTERE,DESC_MINISTERE,SECTION,DESC_SECTION,MNT_ALLOUE1617,MNT_AUTORISE1,MNT_AUTORISE2,MNT_AUTORISE3,MNT_AUTORISE4,MNT_AUTORISE5,MNT_AUTORISE6,MNT_AUTORISE7,MNT_AUTORISE8,MNT_AUTORISE9,MNT_AUTORISE10,MNT_AUTORISE11,MNT_AUTORISE12
1213,MINISTERE DES AFFAIRES ETRANGERES,1213112,DIRECTION GENERALE DES SERVICES INTERNES," 3,699,167,983.53 "," 317,774,566.90 "," 602,624,162.89 "," 622,502,529.16 "," 37,020,039.54 "," 349,389,243.63 "," 321,654,231.48 "," 322,561,468.88 "," 26,609,479.99 "," 33,416,190.74 "," 906,222,585.17 "," 58,264,597.52 "," 100,406,759.95 "
1213 Total,,,," 3,815,999,533.43 "," 327,246,562.46 ",," 639,190,055.24 "," 45,674,471.54 "," 360,290,724.30 "," 330,244,829.35 "," 329,833,970.54 "," 34,897,559.99 "," 44,447,417.40 "," 913,793,335.15 "," 67,179,107.52 "," 109,831,469.95 "
1214,LA PRESIDENCE,1214111,BUREAU DU PRESIDENT," 222,143,826.20 "," 11,179,210.00 "," 5,985,210.00 "," 20,394,495.89 "," 29,486,360.67 "," 17,946,959.94 "," 20,818,651.60 "," 7,521,710.00 "," 28,290,576.67 "," 15,532,043.33 "," 20,843,176.67 "," 30,916,026.67 "," 13,229,360.00 "
1214,LA PRESIDENCE,1214112,ADMINISTRATION GENERALE," 409,487,785.00 "," 23,296,512.35 "," 31,400,518.37 "," 41,335,749.14 "," 18,561,003.17 "," 34,419,502.41 "," 31,663,650.97 "," 53,839,434.45 "," 30,270,320.95 "," 52,758,720.48 "," 58,721,246.21 "," 18,935,976.97 "," 13,985,039.99 "
1214,LA PRESIDENCE,1214113,SERVICE DE SECURITE DU PALAIS NATIONAL," 496,339,142.70 "," 24,000,000.00 "," 15,443,879.00 "," 81,690,145.48 "," 35,433,248.00 "," 41,653,274.15 "," 70,142,298.94 "," 13,338,499.00 "," 72,830,245.00 "," 22,909,914.90 "," 77,756,456.40 "," 40,152,795.00 "," 969,000.00 "
1214,LA PRESIDENCE,1214114,DOTATION POUR COMPTE SPECIAL DU PRESIDENT," 76,600,000.00 "," 12,766,666.00 "," 6,383,333.00 "," 6,383,333.00 "," 6,383,333.00 "," 6,383,333.00 "," 6,383,333.00 "," 6,383,333.00 "," 6,383,333.00 "," 6,383,333.00 "," 6,383,333.00 "," 6,383,333.00 ", -   
1214 Total,,,," 1,204,570,753.90 "," 71,242,388.35 ",," 149,803,723.51 "," 89,863,944.84 "," 100,403,069.50 "," 129,007,934.51 "," 81,082,976.45 "," 137,774,475.62 "," 97,584,011.71 "," 163,704,212.28 "," 96,388,131.64 "," 28,183,399.99 "
1215,LA PRIMATURE,1215111,BUREAU DU PREMIER MINISTRE," 418,655,667.65 "," 18,409,831.99 "," 17,391,816.80 "," 59,530,412.31 "," 18,431,904.99 "," 17,662,081.99 "," 38,367,055.56 "," 20,992,853.04 "," 23,101,416.60 "," 22,231,280.48 "," 20,555,068.38 "," 69,230,388.96 "," 63,740,202.52 "
1215,LA PRIMATURE,1215112,ADMINISTRATION GENERALE," 925,408,180.91 "," 33,271,475.37 "," 46,948,113.10 "," 137,631,819.96 "," 66,894,985.78 "," 56,894,541.79 "," 61,972,089.03 "," 47,634,545.70 "," 39,625,816.91 "," 48,885,401.21 "," 148,951,505.55 "," 72,415,669.59 "," 116,674,770.17 "
1215,LA PRIMATURE,1215113,DOTATION POUR COMPTE SPECIAL DU PREMIER MINISTRE," 52,028,538.90 "," 4,335,711.00 "," 4,335,711.00 "," 4,335,711.00 "," 4,335,711.00 "," 4,335,711.00 "," 4,335,711.00 "," 4,335,711.00 "," 4,335,711.00 "," 4,335,711.00 "," 4,335,711.00 "," 4,335,711.00 "," 4,335,711.00 "
1215,LA PRIMATURE,1215116,CONSEIL DE MODERNISATION DES ENTREPRISES PUBLIQUES," 41,031,275.50 "," 2,403,353.33 "," 1,271,461.40 "," 5,909,448.81 "," 2,697,944.65 "," 1,894,718.90 "," 3,629,373.44 "," 3,339,803.39 "," 3,326,707.31 "," 2,591,934.27 "," 2,567,743.30 "," 4,539,075.61 "," 6,322,412.63 "
1215,LA PRIMATURE,1215117,COMMISSSION NATIONALE DE LUTTE CONTRE LA DROGUE," 35,770,006.00 "," 933,566.66 "," 942,866.66 "," 5,765,001.59 "," 1,982,838.53 "," 6,171,233.86 "," 2,834,470.59 "," 177,170.00 "," 3,971,161.99 "," 388,210.00 "," 2,466,516.65 "," 3,674,774.12 "," 6,462,064.42 "
1215,LA PRIMATURE,1215118,BUREAU DE L'ORDONNATEUR NATIONAL," 60,633,405.00 ", -   ," 5,183,100.00 "," 7,642,925.88 "," 4,072,066.79 "," 3,183,986.61 "," 5,253,014.64 "," 3,507,741.70 "," 3,653,808.80 "," 5,025,900.02 "," 6,217,937.23 "," 7,360,956.74 "," 5,827,519.30 "
