"MINISTERE","EMP-NOM","EMP-REI","EMP-CES","M","F","ND","TOTAL"
"1111",0,0,6,5,1,0,6
"1112",6,1,4,9,2,0,11
"1113",3,0,25,24,4,0,28
"1114",15,0,2,9,8,0,17
"1117",0,0,1,0,1,0,1
"1211",1067,44,34,983,142,20,1145
"1212",0,0,1,0,1,0,1
"1213",0,0,1,1,0,0,1
"1215",4,0,3,5,2,0,7
"1216",15,3,2,13,7,0,20
"1311",0,8,21,20,9,0,29
"1312",1,0,6,3,4,0,7
"1313",856,2,23,466,414,1,881
"1314",1,0,1,2,0,0,2
"1315",1,0,0,1,0,0,1
"1412",0,1,0,1,0,0,1
"1413",6,1,1,5,3,0,8
"2211",14,1,1,12,4,0,16
"2212",0,0,1,1,0,0,1
"3211",0,21,38,42,17,0,59
"4111",0,0,2,2,0,0,2
"4311",15,5,1,17,4,0,21
"",2004,87,174,1621,623,21,2265
